Text,Case_Folding,Cleaning_Text,Normalisasi_Text,Formalisasi_Text,Remove_Text,Stemming_Text,Tokenize_Text,Processed_Text,Polarity Score,Labels
Bjirr skrg bs pura2 lesbi,bjirr skrg bs pura2 lesbi,bjirr skrg bs pura lesbi,bjirr sekarang  bisa pura lesbi,bjirr sekarang bisa pura lesbi,bjirr pura lesbi,bjirr pura lesbi,"['bjirr', 'pura', 'lesbi']",bjirr pura lesbi,0,Neutral
"BISABISANYA LOWONGAN LESBI,,, bleh open 24 jam yh","bisabisanya lowongan lesbi,,, bleh open 24 jam yh",bisabisanya lowongan lesbi bleh open jam yh,bisabisanya lowongan lesbi bleh open jam yh,bisabisanya lowongan lesbi bleh open jam yh,bisabisanya lowongan lesbi bleh open yh,bisabisanya lowong lesbi bleh open yh,"['bisabisanya', 'lowong', 'lesbi', 'bleh', 'open', 'yh']",bisabisanya lowong lesbi bleh open yh,-3,Negative
Lesbi buat sampingan,lesbi buat sampingan,lesbi buat sampingan,lesbi buat sampingan,lesbi untuk; sampingan,lesbi untuk; sampingan,lesbi untuk samping,"['lesbi', 'untuk', 'samping']",lesbi untuk samping,-4,Negative
km buka lowongan lesbi gak bun,km buka lowongan lesbi gak bun,km buka lowongan lesbi gak bun,kamu buka lowongan lesbi tidak bun,kamu buka lowongan lesbi tidak bun,buka lowongan lesbi bun,buka lowong lesbi bun,"['buka', 'lowong', 'lesbi', 'bun']",buka lowong lesbi bun,3,Positive
"apalagi sama cewe cantik kan?
bukan lesbi tapi kayak ?????","apalagi sama cewe cantik kan?
bukan lesbi tapi kayak ?????",apalagi sama cewe cantik kanbukan lesbi tapi kayak,apalagi sama cewek  cantik kanbukan lesbi tapi mirip ,apalagi sama cewek cantik kanbukan lesbi tapi mirip,cewek cantik kanbukan lesbi,cewek cantik kanbukan lesbi,"['cewek', 'cantik', 'kanbukan', 'lesbi']",cewek cantik kanbukan lesbi,2,Positive
aku lesbi pro max 2 TB,aku lesbi pro max 2 tb,aku lesbi pro max tb,saya lesbi pro max tb,saya lesbi pro max tb,lesbi tb,lesbi tb,"['lesbi', 'tb']",lesbi tb,0,Neutral
duh duh udah bener gimmick lesbi aja njing malah jajan ovaltine sama mie dobel telor di warkop,duh duh udah bener gimmick lesbi aja njing malah jajan ovaltine sama mie dobel telor di warkop,duh duh udah bener gimmick lesbi aja njing malah jajan ovaltine sama mie dobel telor di warkop,duh duh sudah benar  gimmick lesbi saja  njing malah jajan ovaltine sama mie dobel telur  di warkop,duh duh sudah benar gimmick lesbi saja njing malah jajan ovaltine sama mie dobel telur di warkop,gimmick lesbi njing jajan ovaltine mie dobel telur warkop,gimmick lesbi njing jajan ovaltine mie dobel telur warkop,"['gimmick', 'lesbi', 'njing', 'jajan', 'ovaltine', 'mie', 'dobel', 'telur', 'warkop']",gimmick lesbi njing jajan ovaltine mie dobel telur warkop,-3,Negative
"disclaimer ini self-realization pribadiku ya, bukan berarti yang mau pisah kamar sama suami/istrinya berarti sebenernya gay  ngga cuma ini, aku juga punya moment-moment lain serupa yang lagi dan lagi ngeyakinin aku kalo aku sebenernya lesbi cuma belum sepenuhnya nerima aja","disclaimer ini self-realization pribadiku ya, bukan berarti yang mau pisah kamar sama suami/istrinya berarti sebenernya gay  ngga cuma ini, aku juga punya moment-moment lain serupa yang lagi dan lagi ngeyakinin aku kalo aku sebenernya lesbi cuma belum sepenuhnya nerima aja",disclaimer ini selfrealization pribadiku ya bukan berarti yang mau pisah kamar sama suamiistrinya berarti sebenernya gay ngga cuma ini aku juga punya momentmoment lain serupa yang lagi dan lagi ngeyakinin aku kalo aku sebenernya lesbi cuma belum sepenuhnya nerima aja,disclaimer ini selfrealization pribadiku ya bukan berarti yang mau pisah kamar sama suamiistrinya berarti sebenarnya  gay tidak cuma ini saya juga punya momentmoment lain serupa yang lagi dan lagi ngeyakinin saya kalau  saya sebenarnya  lesbi cuma belum sepenuhnya nerima saja ,disclaimer ini selfrealization pribadiku ya bukan berarti yang mau pisah kamar sama suamiistrinya berarti sebenarnya gay tidak cuma ini saya juga punya momentmoment lain serupa yang lagi dan lagi ngeyakinin saya kalau saya sebenarnya lesbi cuma belum sepenuhnya nerima saja,disclaimer selfrealization pribadiku ya pisah kamar suamiistrinya gay momentmoment ngeyakinin lesbi sepenuhnya nerima,disclaimer selfrealization pribadi ya pisah kamar suamiistrinya gay momentmoment ngeyakinin lesbi sepenuh nerima,"['disclaimer', 'selfrealization', 'pribadi', 'ya', 'pisah', 'kamar', 'suamiistrinya', 'gay', 'momentmoment', 'ngeyakinin', 'lesbi', 'sepenuh', 'nerima']",disclaimer selfrealization pribadi ya pisah kamar suamiistrinya gay momentmoment ngeyakinin lesbi sepenuh nerima,1,Positive
Lesbi fans delshel kebanyakan kopal kapal gajelas,lesbi fans delshel kebanyakan kopal kapal gajelas,lesbi fans delshel kebanyakan kopal kapal gajelas,lesbi fans delshel kebanyakan kopal kapal tidak jelas,lesbi fans delshel kebanyakan kopal kapal tidak jelas,lesbi fans delshel kebanyakan kopal kapal,lesbi fans delshel banyak kopal kapal,"['lesbi', 'fans', 'delshel', 'banyak', 'kopal', 'kapal']",lesbi fans delshel banyak kopal kapal,2,Positive
wow iykah?? trus yg waktu itu ke kopisyop sph yhh? yg minggu kmrin ntu? bkn nyah sm km yah cepak lesbi ?? ak nanya cius yh ,wow iykah?? trus yg waktu itu ke kopisyop sph yhh? yg minggu kmrin ntu? bkn nyah sm km yah cepak lesbi ?? ak nanya cius yh,wow iykah trus yg waktu itu ke kopisyop sph yhh yg minggu kmrin ntu bkn nyah sm km yah cepak lesbi ak nanya cius yh,wow iykah terus  yang  waktu itu ke kopisyop sph yhh yang  minggu kemarin  itu  bukan nyah sama  kamu yah cepak lesbi saya  tanya  cius yh,wow iykah terus yang waktu itu ke kopisyop sph yhh yang minggu kemarin itu bukan nyah sama kamu yah cepak lesbi saya tanya cius yh,iykah kopisyop sph yhh minggu kemarin nyah cepak lesbi cius yh,iykah kopisyop sph yhh minggu kemarin nyah cepak lesbi cius yh,"['iykah', 'kopisyop', 'sph', 'yhh', 'minggu', 'kemarin', 'nyah', 'cepak', 'lesbi', 'cius', 'yh']",iykah kopisyop sph yhh minggu kemarin nyah cepak lesbi cius yh,0,Neutral
YANG LESBI SIAPA NJING ??,yang lesbi siapa njing ??,yang lesbi siapa njing,yang lesbi siapa njing,yang lesbi siapa njing,lesbi njing,lesbi njing,"['lesbi', 'njing']",lesbi njing,0,Neutral
"Maksut ketikan lo apa? 2 bulan itu lama ya anjing, udh gada sts masih aja lo gaterima 

Bacot lesbi","maksut ketikan lo apa? 2 bulan itu lama ya anjing, udh gada sts masih aja lo gaterima 

bacot lesbi",maksut ketikan lo apa bulan itu lama ya anjing udh gada sts masih aja lo gaterima bacot lesbi,maksut ketikan kamu apa bulan itu lama ya anjing sudah tidak ada sts masih saja  kamu gaterima bacot lesbi,maksut ketikan kamu apa bulan itu lama ya anjing sudah tidak ada sts masih saja kamu gaterima bacot lesbi,maksut ketikan ya anjing sts gaterima bacot lesbi,maksut keti ya anjing sts gaterima bacot lesbi,"['maksut', 'keti', 'ya', 'anjing', 'sts', 'gaterima', 'bacot', 'lesbi']",maksut keti ya anjing sts gaterima bacot lesbi,3,Positive
Yeri mau ngga ya sama lesbi pengangguran modal bisa ngomong saranghae doang,yeri mau ngga ya sama lesbi pengangguran modal bisa ngomong saranghae doang,yeri mau ngga ya sama lesbi pengangguran modal bisa ngomong saranghae doang,yeri mau tidak ya sama lesbi pengangguran modal bisa bicara  saranghae saja ,yeri mau tidak ya sama lesbi pengangguran modal bisa bicara saranghae saja,yeri ya lesbi pengangguran modal bicara saranghae,yeri ya lesbi anggur modal bicara saranghae,"['yeri', 'ya', 'lesbi', 'anggur', 'modal', 'bicara', 'saranghae']",yeri ya lesbi anggur modal bicara saranghae,2,Positive
apa ak bohong klo ak lesbi yh,apa ak bohong klo ak lesbi yh,apa ak bohong klo ak lesbi yh,apa saya  bohong kalau saya  lesbi yh,apa saya bohong kalau saya lesbi yh,bohong lesbi yh,bohong lesbi yh,"['bohong', 'lesbi', 'yh']",bohong lesbi yh,-5,Negative
OH UDAH LESBI,oh udah lesbi,oh udah lesbi,oh sudah lesbi,oh sudah lesbi,lesbi,lesbi,['lesbi'],lesbi,0,Neutral
"udah reply di QRT tapi repost di sini to reach bigger audience: kalo kalian relate sama ini, kalian bisa coba baca ""am i a lesbian?"" masterdoc, di sana bahas gimana banyak dari kita cenderung denial kita gay/lesbi karena heteronorma
tivitas dan/atau internalized homophobia","udah reply di qrt tapi repost di sini to reach bigger audience: kalo kalian relate sama ini, kalian bisa coba baca ""am i a lesbian?"" masterdoc, di sana bahas gimana banyak dari kita cenderung denial kita gay/lesbi karena heteronorma
tivitas dan/atau internalized homophobia",udah reply di qrt tapi repost di sini to reach bigger audience kalo kalian relate sama ini kalian bisa coba baca am i a lesbian masterdoc di sana bahas gimana banyak dari kita cenderung denial kita gaylesbi karena heteronormativitas danatau internalized homophobia,sudah reply di qrt tapi repost di sini to reach bigger audience kalau  kalian relate sama ini kalian bisa coba baca am i a lesbian masterdoc di sana bahas gimana banyak dari kita cenderung denial kita gaylesbi karena heteronormativitas danatau internalized homophobia,sudah reply di qrt tapi repost di sini to reach bigger audience kalau kalian relate sama ini kalian bisa coba baca am i a lesbian masterdoc di sana bahas gimana banyak dari kita cenderung denial kita gaylesbi karena heteronormativitas danatau internalized homophobia,reply qrt repost reach bigger audience relate coba baca am lesbian masterdoc bahas gimana cenderung denial gaylesbi heteronormativitas danatau internalized homophobia,reply qrt repost reach bigger audience relate coba baca am lesbian masterdoc bahas gimana cenderung denial gaylesbi heteronormativitas danatau internalized homophobia,"['reply', 'qrt', 'repost', 'reach', 'bigger', 'audience', 'relate', 'coba', 'baca', 'am', 'lesbian', 'masterdoc', 'bahas', 'gimana', 'cenderung', 'denial', 'gaylesbi', 'heteronormativitas', 'danatau', 'internalized', 'homophobia']",reply qrt repost reach bigger audience relate coba baca am lesbian masterdoc bahas gimana cenderung denial gaylesbi heteronormativitas danatau internalized homophobia,7,Positive
"menurutku sih, engga usah melebeli?, kek ya yaudah, kamu suka cewe maupun cowo ya sukain aja?, maksudnya ngapain pusing pusing kamu mikir, kamu lesbi, kamu bi, kamu apalah itu, ya kek yaudah kamu lagi suka cewe ya oke, kamu lagi suka cowo ya oke, di bawa santai aja","menurutku sih, engga usah melebeli?, kek ya yaudah, kamu suka cewe maupun cowo ya sukain aja?, maksudnya ngapain pusing pusing kamu mikir, kamu lesbi, kamu bi, kamu apalah itu, ya kek yaudah kamu lagi suka cewe ya oke, kamu lagi suka cowo ya oke, di bawa santai aja",menurutku sih engga usah melebeli kek ya yaudah kamu suka cewe maupun cowo ya sukain aja maksudnya ngapain pusing pusing kamu mikir kamu lesbi kamu bi kamu apalah itu ya kek yaudah kamu lagi suka cewe ya oke kamu lagi suka cowo ya oke di bawa santai aja,menurutku sih tidak  usah melebeli kek ya yaudah kamu suka cewek  maupun cowok  ya sukain saja  maksudnya ngapain pusing pusing kamu mikir kamu lesbi kamu bi kamu apalah itu ya kek yaudah kamu lagi suka cewek  ya oke kamu lagi suka cowok  ya oke di bawa santai saja ,menurutku sih tidak usah melebeli seperti; ya yaudah kamu suka cewek maupun cowok ya sukain saja maksudnya ngapain pusing pusing kamu mikir kamu lesbi kamu bi kamu apalah itu ya seperti; yaudah kamu lagi suka cewek ya oke kamu lagi suka cowok ya oke di bawa santai saja,menurutku melebeli seperti; ya yaudah suka cewek cowok ya sukain maksudnya ngapain pusing pusing mikir lesbi bi apalah ya seperti; yaudah suka cewek ya suka cowok ya bawa santai,turut melebeli seperti ya yaudah suka cewek cowok ya sukain maksud ngapain pusing pusing mikir lesbi bi apa ya seperti yaudah suka cewek ya suka cowok ya bawa santai,"['turut', 'melebeli', 'seperti', 'ya', 'yaudah', 'suka', 'cewek', 'cowok', 'ya', 'sukain', 'maksud', 'ngapain', 'pusing', 'pusing', 'mikir', 'lesbi', 'bi', 'apa', 'ya', 'seperti', 'yaudah', 'suka', 'cewek', 'ya', 'suka', 'cowok', 'ya', 'bawa', 'santai']",turut melebeli seperti ya yaudah suka cewek cowok ya sukain maksud ngapain pusing pusing mikir lesbi bi apa ya seperti yaudah suka cewek ya suka cowok ya bawa santai,23,Positive
msh lesbi gak,msh lesbi gak,msh lesbi gak,masih  lesbi tidak,masih lesbi tidak,lesbi,lesbi,['lesbi'],lesbi,0,Neutral
INILAH BENTUKAN PACAR LESBI KU,inilah bentukan pacar lesbi ku,inilah bentukan pacar lesbi ku,inilah bentukan pacar lesbi ku,inilah bentukan pacar lesbi ku,bentukan pacar lesbi,bentuk pacar lesbi,"['bentuk', 'pacar', 'lesbi']",bentuk pacar lesbi,6,Positive
mematahkan juga bahwa ga semua cwk tomboy itu lesbi,mematahkan juga bahwa ga semua cwk tomboy itu lesbi,mematahkan juga bahwa ga semua cwk tomboy itu lesbi,mematahkan juga bahwa tidak semua cwk tomboy itu lesbi,mematahkan juga bahwa tidak semua cwk tomboy itu lesbi,mematahkan cwk tomboy lesbi,patah cwk tomboy lesbi,"['patah', 'cwk', 'tomboy', 'lesbi']",patah cwk tomboy lesbi,-4,Negative
Buat grup lesbi,buat grup lesbi,buat grup lesbi,buat grup lesbi,untuk; grup lesbi,untuk; grup lesbi,untuk grup lesbi,"['untuk', 'grup', 'lesbi']",untuk grup lesbi,-4,Negative
Jangan² kamu yang lesbi ya an ,jangan² kamu yang lesbi ya an,jangan kamu yang lesbi ya an,jangan kamu yang lesbi ya an,jangan kamu yang lesbi ya an,lesbi ya,lesbi ya,"['lesbi', 'ya']",lesbi ya,4,Positive
Nyoba lesbi? Tidaaaaaakkkkk ,nyoba lesbi? tidaaaaaakkkkk,nyoba lesbi tidaaaaaakkkkk,coba  lesbi tidaaaaaakkkkk,coba lesbi tidaaaaaakkkkk,coba lesbi tidaaaaaakkkkk,coba lesbi tidaaaaaakkkkk,"['coba', 'lesbi', 'tidaaaaaakkkkk']",coba lesbi tidaaaaaakkkkk,2,Positive
"emang dm ku tak buka khusus cewe an, tapi aku ngga lesbi yaa ","emang dm ku tak buka khusus cewe an, tapi aku ngga lesbi yaa",emang dm ku tak buka khusus cewe an tapi aku ngga lesbi yaa,memang  dm ku tak buka khusus cewek  an tapi saya tidak lesbi ya,memang dm ku tak buka khusus cewek an tapi saya tidak lesbi ya,dm buka khusus cewek lesbi ya,dm buka khusus cewek lesbi ya,"['dm', 'buka', 'khusus', 'cewek', 'lesbi', 'ya']",dm buka khusus cewek lesbi ya,7,Positive
Ga ngaruh sih sama fansnya wkwk tinggal kirim pap sama gimmick lesbi jg udh seneng,ga ngaruh sih sama fansnya wkwk tinggal kirim pap sama gimmick lesbi jg udh seneng,ga ngaruh sih sama fansnya wkwk tinggal kirim pap sama gimmick lesbi jg udh seneng,tidak ngaruh sih sama fansnya wkwk tinggal kirim pap sama gimmick lesbi juga sudah senang ,tidak ngaruh sih sama fansnya wkwk tinggal kirim pap sama gimmick lesbi juga sudah senang,ngaruh fansnya wkwk tinggal kirim pap gimmick lesbi senang,ngaruh fansnya wkwk tinggal kirim pap gimmick lesbi senang,"['ngaruh', 'fansnya', 'wkwk', 'tinggal', 'kirim', 'pap', 'gimmick', 'lesbi', 'senang']",ngaruh fansnya wkwk tinggal kirim pap gimmick lesbi senang,8,Positive
Coba bilang ''saya lesbi kak'',coba bilang ''saya lesbi kak'',coba bilang saya lesbi kak,coba bilang saya lesbi kak,coba bilang saya lesbi kak,coba bilang lesbi,coba bilang lesbi,"['coba', 'bilang', 'lesbi']",coba bilang lesbi,2,Positive
rugi kalau gak foto lesbi sama aku,rugi kalau gak foto lesbi sama aku,rugi kalau gak foto lesbi sama aku,rugi kalau tidak foto lesbi sama saya,rugi kalau tidak foto lesbi sama saya,rugi foto lesbi,rugi foto lesbi,"['rugi', 'foto', 'lesbi']",rugi foto lesbi,-2,Negative
"sgini bnyk lesbi, mngp tdk ada yg nyantol dengan ku ","sgini bnyk lesbi, mngp tdk ada yg nyantol dengan ku",sgini bnyk lesbi mngp tdk ada yg nyantol dengan ku,segini  banyak  lesbi mngp tidak ada yang  nyantol dengan ku,segini banyak lesbi mngp tidak ada yang nyantol dengan ku,segini lesbi mngp nyantol,gin lesbi mngp nyantol,"['gin', 'lesbi', 'mngp', 'nyantol']",gin lesbi mngp nyantol,0,Neutral
Bosen berduaan mulu kayak lesbi. ,bosen berduaan mulu kayak lesbi.,bosen berduaan mulu kayak lesbi,bosan  berduaan terus  mirip  lesbi,bosan berduaan terus mirip lesbi,bosan berduaan lesbi,bosan dua lesbi,"['bosan', 'dua', 'lesbi']",bosan dua lesbi,1,Positive
Gua akan jd hantu lesbi.,gua akan jd hantu lesbi.,gua akan jd hantu lesbi,saya  akan jadi hantu lesbi,saya akan jadi hantu lesbi,hantu lesbi,hantu lesbi,"['hantu', 'lesbi']",hantu lesbi,3,Positive
JANGAN PUJI PACAR GWWWW. AARHHHHHH LESBI TOLONGGGG.,jangan puji pacar gwwww. aarhhhhhh lesbi tolongggg.,jangan puji pacar gwwww aarhhhhhh lesbi tolongggg,jangan puji pacar gwwww aarhhhhhh lesbi tolongggg,jangan puji pacar gwwww aarhhhhhh lesbi tolongggg,puji pacar gwwww aarhhhhhh lesbi tolongggg,puji pacar gwwww aarhhhhhh lesbi tolongggg,"['puji', 'pacar', 'gwwww', 'aarhhhhhh', 'lesbi', 'tolongggg']",puji pacar gwwww aarhhhhhh lesbi tolongggg,6,Positive
"iya,besok lagi datangnya ya klo mau nyari lesbi","iya,besok lagi datangnya ya klo mau nyari lesbi",iyabesok lagi datangnya ya klo mau nyari lesbi,iyabesok lagi datangnya ya kalau mau cari  lesbi,iyabesok lagi datangnya ya kalau mau cari lesbi,iyabesok datangnya ya cari lesbi,iyabesok datang ya cari lesbi,"['iyabesok', 'datang', 'ya', 'cari', 'lesbi']",iyabesok datang ya cari lesbi,3,Positive
Grup lesbi begitu bagaimana ak tidak suka ,grup lesbi begitu bagaimana ak tidak suka,grup lesbi begitu bagaimana ak tidak suka,grup lesbi begitu bagaimana saya  tidak suka,grup lesbi begitu bagaimana saya tidak suka,grup lesbi suka,grup lesbi suka,"['grup', 'lesbi', 'suka']",grup lesbi suka,-1,Negative
"Kalau butuh lesbi bookingan,chat tele langsung aja kak","kalau butuh lesbi bookingan,chat tele langsung aja kak",kalau butuh lesbi bookinganchat tele langsung aja kak,kalau butuh lesbi bookinganchat tele langsung saja  kak,kalau butuh lesbi bookinganchat tele langsung saja kak,butuh lesbi bookinganchat tele langsung,butuh lesbi bookinganchat tele langsung,"['butuh', 'lesbi', 'bookinganchat', 'tele', 'langsung']",butuh lesbi bookinganchat tele langsung,-2,Negative
Lesbi ih,lesbi ih,lesbi ih,lesbi ih,lesbi ih,lesbi ih,lesbi ih,"['lesbi', 'ih']",lesbi ih,0,Neutral
bagussss menggambarkan lesbi banget,bagussss menggambarkan lesbi banget,bagussss menggambarkan lesbi banget,bagussss menggambarkan lesbi sekali ,bagussss menggambarkan lesbi sekali,bagussss menggambarkan lesbi,bagussss gambar lesbi,"['bagussss', 'gambar', 'lesbi']",bagussss gambar lesbi,2,Positive
emang udh cocok jd lesbi kayanya,emang udh cocok jd lesbi kayanya,emang udh cocok jd lesbi kayanya,memang  sudah cocok jadi lesbi kayaknya ,memang sudah cocok jadi lesbi kayaknya,cocok lesbi kayaknya,cocok lesbi kayak,"['cocok', 'lesbi', 'kayak']",cocok lesbi kayak,1,Positive
"lesbi banget, cocok","lesbi banget, cocok",lesbi banget cocok,lesbi sekali  cocok,lesbi sekali cocok,lesbi cocok,lesbi cocok,"['lesbi', 'cocok']",lesbi cocok,4,Positive
